
Setting logging level to DEBUG
2020-10-01 11:24:48.404+00:00 | main | INFO  | AltBN128PairingPrecompiledContract | Using native alt bn128
2020-10-01 11:24:50.364+00:00 | main | INFO  | SECP256K1 | Using native secp256k1
2020-10-01 11:24:50.406+00:00 | main | INFO  | Besu | Starting Besu version: besu/v1.5.3/linux-x86_64/oracle_openjdk-java-11
2020-10-01 11:24:50.538+00:00 | main | DEBUG | ResourceLeakDetector | -Dio.netty.leakDetection.level: simple
2020-10-01 11:24:50.545+00:00 | main | DEBUG | ResourceLeakDetector | -Dio.netty.leakDetection.targetRecords: 4
2020-10-01 11:24:50.576+00:00 | main | DEBUG | InternalThreadLocalMap | -Dio.netty.threadLocalMap.stringBuilder.initialSize: 1024
2020-10-01 11:24:50.583+00:00 | main | DEBUG | InternalThreadLocalMap | -Dio.netty.threadLocalMap.stringBuilder.maxSize: 4096
2020-10-01 11:24:50.610+00:00 | main | DEBUG | MultithreadEventLoopGroup | -Dio.netty.eventLoopThreads: 2
2020-10-01 11:24:50.659+00:00 | main | DEBUG | NioEventLoop | -Dio.netty.noKeySetOptimization: false
2020-10-01 11:24:50.660+00:00 | main | DEBUG | NioEventLoop | -Dio.netty.selectorAutoRebuildThreshold: 512
2020-10-01 11:24:50.705+00:00 | main | DEBUG | PlatformDependent0 | -Dio.netty.noUnsafe: false
2020-10-01 11:24:50.706+00:00 | main | DEBUG | PlatformDependent0 | Java version: 11
2020-10-01 11:24:50.708+00:00 | main | DEBUG | PlatformDependent0 | sun.misc.Unsafe.theUnsafe: available
2020-10-01 11:24:50.713+00:00 | main | DEBUG | PlatformDependent0 | sun.misc.Unsafe.copyMemory: available
2020-10-01 11:24:50.714+00:00 | main | DEBUG | PlatformDependent0 | java.nio.Buffer.address: available
2020-10-01 11:24:50.714+00:00 | main | DEBUG | PlatformDependent0 | direct buffer constructor: available
2020-10-01 11:24:50.715+00:00 | main | DEBUG | PlatformDependent0 | java.nio.Bits.unaligned: available, true
