WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187114, seq 369 *): Starting change to view 187115
INFO  | pbft_engine::node:48 | (V(187115), view 187115, seq 369): Updated to view 187115
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187115
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187115, seq 369): Starting change to view 187116
INFO  | pbft_engine::node:48 | (V(187116), view 187116, seq 369): Updated to view 187116
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187116, seq 369): Starting change to view 187117
INFO  | pbft_engine::node:48 | (V(187117), view 187117, seq 369): Updated to view 187117
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187117, seq 369): Starting change to view 187118
INFO  | pbft_engine::node:48 | (V(187118), view 187118, seq 369): Updated to view 187118
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187118, seq 369): Starting change to view 187119
INFO  | pbft_engine::node:48 | (V(187119), view 187119, seq 369 *): Updated to view 187119
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187119
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187119
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187119, seq 369 *): Starting change to view 187120
INFO  | pbft_engine::node:48 | (V(187120), view 187120, seq 369): Updated to view 187120
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187120, seq 369): Starting change to view 187121
INFO  | pbft_engine::node:48 | (V(187121), view 187121, seq 369): Updated to view 187121
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187121, seq 369): Starting change to view 187122
INFO  | pbft_engine::node:48 | (V(187122), view 187122, seq 369): Updated to view 187122
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187122
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187122
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187122, seq 369): Starting change to view 187123
INFO  | pbft_engine::node:48 | (V(187123), view 187123, seq 369): Updated to view 187123
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187123, seq 369): Starting change to view 187124
INFO  | pbft_engine::node:48 | (V(187124), view 187124, seq 369 *): Updated to view 187124
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187124
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187124
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187124, seq 369 *): Starting change to view 187125
INFO  | pbft_engine::node:48 | (V(187125), view 187125, seq 369): Updated to view 187125
INFO  | pbft_engine::node:39 | (PP, view 187125, seq 369): Received f + 1 ViewChange messages; starting early view change
INFO  | pbft_engine::node:16 | (PP, view 187125, seq 369): Starting change to view 187126
INFO  | pbft_engine::node:48 | (V(187126), view 187126, seq 369): Updated to view 187126
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187126, seq 369): Starting change to view 187127
INFO  | pbft_engine::node:48 | (V(187127), view 187127, seq 369): Updated to view 187127
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187127
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187127, seq 369): Starting change to view 187128
INFO  | pbft_engine::node:48 | (V(187128), view 187128, seq 369): Updated to view 187128
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187128
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187128, seq 369): Starting change to view 187129
INFO  | pbft_engine::node:48 | (V(187129), view 187129, seq 369 *): Updated to view 187129
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187129
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187129
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187129, seq 369 *): Starting change to view 187130
INFO  | pbft_engine::node:48 | (V(187130), view 187130, seq 369): Updated to view 187130
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187130, seq 369): Starting change to view 187131
INFO  | pbft_engine::node:48 | (V(187131), view 187131, seq 369): Updated to view 187131
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187131, seq 369): Starting change to view 187132
INFO  | pbft_engine::node:48 | (V(187132), view 187132, seq 369): Updated to view 187132
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187132
INFO  | pbft_engine::node:39 | (PP, view 187132, seq 369): Received f + 1 ViewChange messages; starting early view change
INFO  | pbft_engine::node:16 | (PP, view 187132, seq 369): Starting change to view 187133
INFO  | pbft_engine::node:48 | (V(187133), view 187133, seq 369): Updated to view 187133
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187133, seq 369): Starting change to view 187134
INFO  | pbft_engine::node:48 | (V(187134), view 187134, seq 369 *): Updated to view 187134
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187134
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187134
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187134, seq 369 *): Starting change to view 187135
INFO  | pbft_engine::node:48 | (V(187135), view 187135, seq 369): Updated to view 187135
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187135, seq 369): Starting change to view 187136
INFO  | pbft_engine::node:48 | (V(187136), view 187136, seq 369): Updated to view 187136
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187136, seq 369): Starting change to view 187137
INFO  | pbft_engine::node:48 | (V(187137), view 187137, seq 369): Updated to view 187137
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187137
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187137, seq 369): Starting change to view 187138
INFO  | pbft_engine::node:48 | (V(187138), view 187138, seq 369): Updated to view 187138
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187138, seq 369): Starting change to view 187139
INFO  | pbft_engine::node:48 | (V(187139), view 187139, seq 369 *): Updated to view 187139
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187139
DEBUG | pbft_engine::node:37 | Ignoring stale view change message for view 187139
WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
INFO  | pbft_engine::node:16 | (PP, view 187139, seq 369 *): Starting change to view 187140
INFO  | pbft_engine::node:48 | (V(187140), view 187140, seq 369): Updated to view 187140
