`Jan 30 16:24:57 bc1 pbft-engine[1136]: INFO  | pbft_engine::engine: | Received PeerConnected message with peer info: PeerInfo { peer_id: [2, 251, 163, 36, 246, 153, 171, 101, 160, 163, 129, 32, 16, 226, 114, 198, 12, 165, 91, 96, 190, 54, 190, 79, 201, 151, 135, 80, 99, 42, 77, 175, 87] }
Jan 30 16:25:20 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 1, seq 1): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:25:20 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 1, seq 1): Starting change to view 2
Jan 30 16:25:20 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(2), view 2, seq 1): Updated to view 2
Jan 30 16:25:50 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 2, seq 1): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:25:50 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 2, seq 1): Starting change to view 3
Jan 30 16:25:51 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(3), view 3, seq 1): Updated to view 3
Jan 30 16:26:21 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 3, seq 1): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:26:21 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 3, seq 1): Starting change to view 4
Jan 30 16:26:21 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(4), view 4, seq 1): Updated to view 4
Jan 30 16:26:51 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:39 | (PP, view 4, seq 1): Received f + 1 ViewChange messages; starting early view change
Jan 30 16:26:51 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 4, seq 1): Starting change to view 5
Jan 30 16:26:51 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:48 | (V(5), view 5, seq 1 *): Updated to view 5
Jan 30 16:27:21 bc1 pbft-engine[1136]: WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
Jan 30 16:27:21 bc1 pbft-engine[1136]: INFO  | pbft_engine::node:16 | (PP, view 5, seq 1 *): Starting change to view 6
