
Setting logging level to DEBUG
2020-10-01 11:22:32.658+00:00 | main | INFO  | AltBN128PairingPrecompiledContract | Using native alt bn128
2020-10-01 11:22:34.482+00:00 | main | INFO  | SECP256K1 | Using native secp256k1
2020-10-01 11:22:34.494+00:00 | main | INFO  | Besu | Starting Besu version: besu/v1.5.3/linux-x86_64/oracle_openjdk-java-11
2020-10-01 11:22:34.580+00:00 | main | DEBUG | ResourceLeakDetector | -Dio.netty.leakDetection.level: simple
2020-10-01 11:22:34.581+00:00 | main | DEBUG | ResourceLeakDetector | -Dio.netty.leakDetection.targetRecords: 4
2020-10-01 11:22:34.591+00:00 | main | DEBUG | InternalThreadLocalMap | -Dio.netty.threadLocalMap.stringBuilder.initialSize: 1024
2020-10-01 11:22:34.591+00:00 | main | DEBUG | InternalThreadLocalMap | -Dio.netty.threadLocalMap.stringBuilder.maxSize: 4096
2020-10-01 11:22:34.598+00:00 | main | DEBUG | MultithreadEventLoopGroup | -Dio.netty.eventLoopThreads: 2
2020-10-01 11:22:34.676+00:00 | main | DEBUG | NioEventLoop | -Dio.netty.noKeySetOptimization: false
2020-10-01 11:22:34.676+00:00 | main | DEBUG | NioEventLoop | -Dio.netty.selectorAutoRebuildThreshold: 512
2020-10-01 11:22:34.711+00:00 | main | DEBUG | PlatformDependent0 | -Dio.netty.noUnsafe: false
2020-10-01 11:22:34.711+00:00 | main | DEBUG | PlatformDependent0 | Java version: 11
2020-10-01 11:22:34.719+00:00 | main | DEBUG | PlatformDependent0 | sun.misc.Unsafe.theUnsafe: available
2020-10-01 11:22:34.719+00:00 | main | DEBUG | PlatformDependent0 | sun.misc.Unsafe.copyMemory: available
2020-10-01 11:22:34.724+00:00 | main | DEBUG | PlatformDependent0 | java.nio.Buffer.address: available
2020-10-01 11:22:34.724+00:00 | main | DEBUG | PlatformDependent0 | direct buffer constructor: available
2020-10-01 11:22:34.725+00:00 | main | DEBUG | PlatformDependent0 | java.nio.Bits.unaligned: available, true
2020-10-01 11:22:34.726+00:00 | main | DEBUG | PlatformDependent0 | jdk.internal.misc.Unsafe.allocateUninitializedArray(int): available
2020-10-01 11:22:34.726+00:00 | main | DEBUG | PlatformDependent0 | java.nio.DirectByteBuffer.<init>(long, int): available
2020-10-01 11:22:34.772+00:00 | main | DEBUG | PlatformDependent | sun.misc.Unsafe: available
2020-10-01 11:22:34.772+00:00 | main | DEBUG | PlatformDependent | maxDirectMemory: 1037959168 bytes (maybe)
2020-10-01 11:22:34.773+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2020-10-01 11:22:34.773+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.bitMode: 64 (sun.arch.data.model)
2020-10-01 11:22:34.780+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.maxDirectMemory: 1037959168 bytes
2020-10-01 11:22:34.780+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.uninitializedArrayAllocationThreshold: 1024
2020-10-01 11:22:34.781+00:00 | main | DEBUG | CleanerJava9 | java.nio.ByteBuffer.cleaner(): available
2020-10-01 11:22:34.781+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.noPreferDirect: false
2020-10-01 11:22:34.801+00:00 | main | DEBUG | PlatformDependent | org.jctools-core.MpscChunkedArrayQueue: available
2020-10-01 11:22:34.913+00:00 | main | DEBUG | DefaultDnsServerAddressStreamProvider | Default DNS servers: [/10.1.0.10:53] (sun.net.dns.ResolverConfiguration)
2020-10-01 11:22:34.973+00:00 | main | DEBUG | NetUtil | -Djava.net.preferIPv4Stack: false
2020-10-01 11:22:34.973+00:00 | main | DEBUG | NetUtil | -Djava.net.preferIPv6Addresses: false
2020-10-01 11:22:34.974+00:00 | main | DEBUG | NetUtil | Loopback interface: lo (lo, 127.0.0.1)
