
Setting logging level to DEBUG
2020-10-01 11:26:48.960+00:00 | main | INFO  | AltBN128PairingPrecompiledContract | Using native alt bn128
2020-10-01 11:26:50.933+00:00 | main | INFO  | SECP256K1 | Using native secp256k1
2020-10-01 11:26:50.941+00:00 | main | INFO  | Besu | Starting Besu version: besu/v1.5.3/linux-x86_64/oracle_openjdk-java-11
2020-10-01 11:26:51.069+00:00 | main | DEBUG | ResourceLeakDetector | -Dio.netty.leakDetection.level: simple
2020-10-01 11:26:51.069+00:00 | main | DEBUG | ResourceLeakDetector | -Dio.netty.leakDetection.targetRecords: 4
2020-10-01 11:26:51.133+00:00 | main | DEBUG | InternalThreadLocalMap | -Dio.netty.threadLocalMap.stringBuilder.initialSize: 1024
2020-10-01 11:26:51.133+00:00 | main | DEBUG | InternalThreadLocalMap | -Dio.netty.threadLocalMap.stringBuilder.maxSize: 4096
2020-10-01 11:26:51.140+00:00 | main | DEBUG | MultithreadEventLoopGroup | -Dio.netty.eventLoopThreads: 2
2020-10-01 11:26:51.167+00:00 | main | DEBUG | NioEventLoop | -Dio.netty.noKeySetOptimization: false
2020-10-01 11:26:51.167+00:00 | main | DEBUG | NioEventLoop | -Dio.netty.selectorAutoRebuildThreshold: 512
2020-10-01 11:26:51.246+00:00 | main | DEBUG | PlatformDependent0 | -Dio.netty.noUnsafe: false
2020-10-01 11:26:51.247+00:00 | main | DEBUG | PlatformDependent0 | Java version: 11
2020-10-01 11:26:51.249+00:00 | main | DEBUG | PlatformDependent0 | sun.misc.Unsafe.theUnsafe: available
2020-10-01 11:26:51.250+00:00 | main | DEBUG | PlatformDependent0 | sun.misc.Unsafe.copyMemory: available
2020-10-01 11:26:51.251+00:00 | main | DEBUG | PlatformDependent0 | java.nio.Buffer.address: available
2020-10-01 11:26:51.251+00:00 | main | DEBUG | PlatformDependent0 | direct buffer constructor: available
2020-10-01 11:26:51.252+00:00 | main | DEBUG | PlatformDependent0 | java.nio.Bits.unaligned: available, true
2020-10-01 11:26:51.254+00:00 | main | DEBUG | PlatformDependent0 | jdk.internal.misc.Unsafe.allocateUninitializedArray(int): available
2020-10-01 11:26:51.254+00:00 | main | DEBUG | PlatformDependent0 | java.nio.DirectByteBuffer.<init>(long, int): available
2020-10-01 11:26:51.254+00:00 | main | DEBUG | PlatformDependent | sun.misc.Unsafe: available
2020-10-01 11:26:51.255+00:00 | main | DEBUG | PlatformDependent | maxDirectMemory: 1037959168 bytes (maybe)
2020-10-01 11:26:51.255+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2020-10-01 11:26:51.256+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.bitMode: 64 (sun.arch.data.model)
2020-10-01 11:26:51.257+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.maxDirectMemory: 1037959168 bytes
2020-10-01 11:26:51.258+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.uninitializedArrayAllocationThreshold: 1024
2020-10-01 11:26:51.260+00:00 | main | DEBUG | CleanerJava9 | java.nio.ByteBuffer.cleaner(): available
2020-10-01 11:26:51.261+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.noPreferDirect: false
2020-10-01 11:26:51.268+00:00 | main | DEBUG | PlatformDependent | org.jctools-core.MpscChunkedArrayQueue: available
2020-10-01 11:26:51.450+00:00 | main | DEBUG | DefaultDnsServerAddressStreamProvider | Default DNS servers: [/10.1.0.10:53] (sun.net.dns.ResolverConfiguration)
2020-10-01 11:26:51.456+00:00 | main | DEBUG | NetUtil | -Djava.net.preferIPv4Stack: false
2020-10-01 11:26:51.456+00:00 | main | DEBUG | NetUtil | -Djava.net.preferIPv6Addresses: false
2020-10-01 11:26:51.457+00:00 | main | DEBUG | NetUtil | Loopback interface: lo (lo, 127.0.0.1)
2020-10-01 11:26:51.458+00:00 | main | DEBUG | NetUtil | /proc/sys/net/core/somaxconn: 128
2020-10-01 11:26:51.654+00:00 | main | WARN  | TomlConfigFileParser | Write access denied for file at: %s. Configuration modification operations will not be permitted.
2020-10-01 11:26:51.736+00:00 | main | WARN  | TomlConfigFileParser | Write access denied for file at: %s. Configuration modification operations will not be permitted.
2020-10-01 11:26:51.743+00:00 | main | INFO  | StaticNodesParser | StaticNodes file /opt/besu/data/static-nodes.json does not exist, no static connections will be created.
2020-10-01 11:26:51.743+00:00 | main | INFO  | Besu | Connecting to 0 static nodes.
2020-10-01 11:26:51.747+00:00 | main | INFO  | Besu | Security Module: localfile
2020-10-01 11:26:51.848+00:00 | main | INFO  | KeyPairUtil | Loaded public key 0x52e00bf41276b2ba5b06e9100beafa936e31847a2d4196f18b1cd097a9d71cff0d17967e05e13e2061bc69dd50269e4922c96824d4c37ae276294597d86f74b9 from /secrets/key
2020-10-01 11:26:51.863+00:00 | main | INFO  | RocksDBKeyValuePrivacyStorageFactory | No existing private database detected at /opt/besu/data. Using version 1
2020-10-01 11:26:52.151+00:00 | main | INFO  | DatabaseMetadata | Lookup database metadata file in data directory: /opt/besu/data
2020-10-01 11:26:52.152+00:00 | main | INFO  | RocksDBKeyValueStorageFactory | Existing database detected at /opt/besu/data. Version 1
2020-10-01 11:26:55.959+00:00 | main | INFO  | ProtocolScheduleBuilder | Protocol schedule created with milestones: [ConstantinopleFix: 0]
2020-10-01 11:26:56.331+00:00 | main | DEBUG | PrivateStorageMigrationService | Private database metadata does not require migration.
2020-10-01 11:26:56.334+00:00 | main | DEBUG | BesuPluginContextImpl | Plugin startup complete.
2020-10-01 11:26:56.339+00:00 | main | INFO  | RunnerBuilder | Detecting NAT service.
2020-10-01 11:26:56.545+00:00 | main | INFO  | Runner | Starting Ethereum main loop ...
2020-10-01 11:26:56.546+00:00 | main | INFO  | KubernetesNatManager | Starting kubernetes NAT manager.
2020-10-01 11:26:56.558+00:00 | main | DEBUG | KubernetesNatManager | Trying to update information using Kubernetes client SDK.
2020-10-01 11:26:57.562+00:00 | main | DEBUG | NatService | Nat manager failed to configure itself automatically due to the following reason : Forbidden. NONE mode will be used
