
Setting logging level to DEBUG
2020-10-01 11:24:42.223+00:00 | main | INFO  | AltBN128PairingPrecompiledContract | Using native alt bn128
2020-10-01 11:24:44.156+00:00 | main | INFO  | SECP256K1 | Using native secp256k1
2020-10-01 11:24:44.161+00:00 | main | INFO  | Besu | Starting Besu version: besu/v1.5.3/linux-x86_64/oracle_openjdk-java-11
2020-10-01 11:24:44.358+00:00 | main | DEBUG | ResourceLeakDetector | -Dio.netty.leakDetection.level: simple
2020-10-01 11:24:44.361+00:00 | main | DEBUG | ResourceLeakDetector | -Dio.netty.leakDetection.targetRecords: 4
2020-10-01 11:24:44.388+00:00 | main | DEBUG | InternalThreadLocalMap | -Dio.netty.threadLocalMap.stringBuilder.initialSize: 1024
2020-10-01 11:24:44.389+00:00 | main | DEBUG | InternalThreadLocalMap | -Dio.netty.threadLocalMap.stringBuilder.maxSize: 4096
2020-10-01 11:24:44.409+00:00 | main | DEBUG | MultithreadEventLoopGroup | -Dio.netty.eventLoopThreads: 2
2020-10-01 11:24:44.474+00:00 | main | DEBUG | NioEventLoop | -Dio.netty.noKeySetOptimization: false
2020-10-01 11:24:44.480+00:00 | main | DEBUG | NioEventLoop | -Dio.netty.selectorAutoRebuildThreshold: 512
2020-10-01 11:24:44.511+00:00 | main | DEBUG | PlatformDependent0 | -Dio.netty.noUnsafe: false
2020-10-01 11:24:44.516+00:00 | main | DEBUG | PlatformDependent0 | Java version: 11
2020-10-01 11:24:44.518+00:00 | main | DEBUG | PlatformDependent0 | sun.misc.Unsafe.theUnsafe: available
2020-10-01 11:24:44.519+00:00 | main | DEBUG | PlatformDependent0 | sun.misc.Unsafe.copyMemory: available
2020-10-01 11:24:44.519+00:00 | main | DEBUG | PlatformDependent0 | java.nio.Buffer.address: available
2020-10-01 11:24:44.522+00:00 | main | DEBUG | PlatformDependent0 | direct buffer constructor: available
2020-10-01 11:24:44.522+00:00 | main | DEBUG | PlatformDependent0 | java.nio.Bits.unaligned: available, true
2020-10-01 11:24:44.524+00:00 | main | DEBUG | PlatformDependent0 | jdk.internal.misc.Unsafe.allocateUninitializedArray(int): available
2020-10-01 11:24:44.525+00:00 | main | DEBUG | PlatformDependent0 | java.nio.DirectByteBuffer.<init>(long, int): available
2020-10-01 11:24:44.525+00:00 | main | DEBUG | PlatformDependent | sun.misc.Unsafe: available
2020-10-01 11:24:44.525+00:00 | main | DEBUG | PlatformDependent | maxDirectMemory: 1037959168 bytes (maybe)
2020-10-01 11:24:44.526+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
2020-10-01 11:24:44.526+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.bitMode: 64 (sun.arch.data.model)
2020-10-01 11:24:44.527+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.maxDirectMemory: 1037959168 bytes
2020-10-01 11:24:44.527+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.uninitializedArrayAllocationThreshold: 1024
2020-10-01 11:24:44.535+00:00 | main | DEBUG | CleanerJava9 | java.nio.ByteBuffer.cleaner(): available
2020-10-01 11:24:44.535+00:00 | main | DEBUG | PlatformDependent | -Dio.netty.noPreferDirect: false
2020-10-01 11:24:44.562+00:00 | main | DEBUG | PlatformDependent | org.jctools-core.MpscChunkedArrayQueue: available
2020-10-01 11:24:44.757+00:00 | main | DEBUG | DefaultDnsServerAddressStreamProvider | Default DNS servers: [/10.1.0.10:53] (sun.net.dns.ResolverConfiguration)
2020-10-01 11:24:44.762+00:00 | main | DEBUG | NetUtil | -Djava.net.preferIPv4Stack: false
2020-10-01 11:24:44.762+00:00 | main | DEBUG | NetUtil | -Djava.net.preferIPv6Addresses: false
2020-10-01 11:24:44.764+00:00 | main | DEBUG | NetUtil | Loopback interface: lo (lo, 127.0.0.1)
2020-10-01 11:24:44.764+00:00 | main | DEBUG | NetUtil | /proc/sys/net/core/somaxconn: 128
2020-10-01 11:24:44.955+00:00 | main | WARN  | TomlConfigFileParser | Write access denied for file at: %s. Configuration modification operations will not be permitted.
2020-10-01 11:24:44.999+00:00 | main | WARN  | TomlConfigFileParser | Write access denied for file at: %s. Configuration modification operations will not be permitted.
2020-10-01 11:24:45.003+00:00 | main | INFO  | StaticNodesParser | StaticNodes file /opt/besu/data/static-nodes.json does not exist, no static connections will be created.
2020-10-01 11:24:45.003+00:00 | main | INFO  | Besu | Connecting to 0 static nodes.
2020-10-01 11:24:45.005+00:00 | main | INFO  | Besu | Security Module: localfile
2020-10-01 11:24:45.111+00:00 | main | INFO  | KeyPairUtil | Loaded public key 0x3b00772a2764dfa2c352adffed512c561d6475bcf9c79449282ef9afb54f77f00caf7e5b7bdbfb2bb7daf16881aac3891acc2c0e5d93376886a1e7784b3f0dd7 from /secrets/key
2020-10-01 11:24:45.183+00:00 | main | INFO  | RocksDBKeyValuePrivacyStorageFactory | No existing private database detected at /opt/besu/data. Using version 1
2020-10-01 11:24:45.640+00:00 | main | INFO  | DatabaseMetadata | Lookup database metadata file in data directory: /opt/besu/data
2020-10-01 11:24:45.640+00:00 | main | INFO  | RocksDBKeyValueStorageFactory | Existing database detected at /opt/besu/data. Version 1
2020-10-01 11:24:49.553+00:00 | main | INFO  | ProtocolScheduleBuilder | Protocol schedule created with milestones: [ConstantinopleFix: 0]
2020-10-01 11:24:49.925+00:00 | main | DEBUG | PrivateStorageMigrationService | Private database metadata does not require migration.
2020-10-01 11:24:49.928+00:00 | main | DEBUG | BesuPluginContextImpl | Plugin startup complete.
2020-10-01 11:24:49.946+00:00 | main | INFO  | RunnerBuilder | Detecting NAT service.
2020-10-01 11:24:50.331+00:00 | main | INFO  | Runner | Starting Ethereum main loop ...
2020-10-01 11:24:50.332+00:00 | main | INFO  | KubernetesNatManager | Starting kubernetes NAT manager.
2020-10-01 11:24:50.344+00:00 | main | DEBUG | KubernetesNatManager | Trying to update information using Kubernetes client SDK.
2020-10-01 11:24:51.356+00:00 | main | DEBUG | NatService | Nat manager failed to configure itself automatically due to the following reason : Forbidden. NONE mode will be used
2020-10-01 11:24:51.357+00:00 | main | INFO  | NetworkRunner | Starting Network.
2020-10-01 11:24:51.444+00:00 | main | DEBUG | DefaultChannelId | -Dio.netty.processId: 1 (auto-detected)
2020-10-01 11:24:51.447+00:00 | main | DEBUG | DefaultChannelId | -Dio.netty.machineId: 32:77:1f:ff:fe:6d:b1:13 (auto-detected)
2020-10-01 11:24:51.561+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.numHeapArenas: 2
2020-10-01 11:24:51.561+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.numDirectArenas: 2
2020-10-01 11:24:51.561+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.pageSize: 8192
2020-10-01 11:24:51.561+00:00 | main | DEBUG | PooledByteBufAllocator | -Dio.netty.allocator.maxOrder: 11
